ts,type,object_id,zone
1777358992.0125706,zone_exit,2,right
1777358992.0461454,zone_enter,2,right
1777358992.0795588,zone_exit,2,right
1777358992.1795783,zone_enter,2,right
1777358992.2465298,zone_exit,2,right
1777358992.279813,zone_exit,1,left
1777358992.3466094,zone_enter,2,right
1777358992.4132614,zone_enter,1,left
1777358992.5804036,zone_exit,1,left
1777358992.6135511,zone_enter,1,left
1777358992.6468575,zone_exit,1,left
1777358992.9140444,zone_exit,2,right
1777358993.915348,zone_enter,2,right
1777358993.9487484,zone_exit,2,right
1777358994.249506,zone_enter,2,right
1777358994.416302,zone_exit,2,right
1777358994.55005,zone_enter,2,right
1777358994.583284,zone_exit,2,right
1777358996.0853684,zone_enter,2,right
1777358996.1187196,zone_exit,2,right
1777358997.6213243,zone_enter,2,right
1777358997.6545835,zone_exit,2,right
1777358998.1220298,zone_enter,2,right
1777358998.2219572,zone_exit,2,right
1777358998.3221023,zone_enter,2,right
1777358998.355739,zone_exit,2,right
1777358998.4556277,zone_enter,2,right
1777358998.4891996,zone_exit,2,right
1777358998.7561316,zone_enter,2,right
1777358998.989828,zone_exit,2,right
1777358999.5577137,zone_enter,2,right
1777358999.8579042,zone_exit,2,right
1777358999.8911963,zone_enter,2,right
1777358999.9581118,zone_exit,2,right
1777359000.1917007,zone_enter,0,left
1777359000.5923374,zone_exit,0,left
1777359000.8929553,zone_enter,0,left
1777359002.6955788,zone_exit,0,left
1777359002.7623441,zone_enter,0,left
