ts,type,object_id,zone
1778678167.4296079,zone_enter,2,right
1778678167.4296079,zone_enter,3,right
1778678167.5965154,zone_exit,2,right
1778678167.6299312,zone_enter,2,right
1778678167.696884,zone_exit,0,left
1778678167.696884,zone_exit,2,right
1778678167.7300024,zone_enter,0,left
1778678167.7632632,zone_exit,0,left
1778678168.1639981,zone_enter,1,left
1778678168.431187,zone_exit,3,right
1778678168.7318094,zone_enter,0,left
1778678168.76509,zone_exit,0,left
1778678168.7982802,zone_enter,0,left
1778678168.8319826,zone_enter,2,right
1778678168.8649528,zone_exit,2,right
1778678169.1657383,zone_enter,2,right
1778678169.1987796,zone_exit,0,left
1778678169.1987796,zone_exit,2,right
1778678169.2321067,zone_enter,2,right
1778678169.3660614,zone_exit,2,right
1778678169.3992712,zone_enter,0,left
1778678169.4661238,zone_enter,3,right
1778678169.5662625,zone_exit,3,right
1778678169.5995617,zone_enter,3,right
1778678169.6330488,zone_exit,0,left
1778678169.6330488,zone_enter,2,right
1778678169.6998768,zone_enter,0,left
1778678169.7331026,zone_exit,3,right
1778678169.76628,zone_exit,2,right
1778678169.7996252,zone_enter,3,right
1778678169.83305,zone_enter,2,right
1778678169.83305,zone_exit,3,right
1778678169.8667612,zone_enter,3,right
1778678169.9669445,zone_exit,1,left
1778678169.9669445,zone_exit,2,right
1778678170.0333548,zone_enter,2,right
1778678170.1004026,zone_enter,1,left
1778678170.1336765,zone_exit,1,left
1778678170.1669428,zone_enter,1,left
1778678170.2005987,zone_exit,1,left
1778678170.2338593,zone_enter,1,left
1778678170.2338593,zone_exit,3,right
1778678170.267006,zone_exit,1,left
1778678170.267006,zone_enter,3,right
1778678170.3003986,zone_enter,1,left
1778678170.333781,zone_exit,1,left
1778678170.3672998,zone_enter,1,left
1778678170.4009008,zone_exit,1,left
1778678170.4341898,zone_enter,1,left
1778678170.5010598,zone_exit,3,right
1778678170.5343482,zone_exit,2,right
1778678170.5343482,zone_enter,3,right
1778678170.5676577,zone_exit,3,right
1778678170.6011574,zone_enter,3,right
1778678170.6342442,zone_enter,2,right
1778678170.6342442,zone_exit,3,right
1778678170.6676233,zone_exit,2,right
1778678170.7343767,zone_enter,3,right
1778678170.8681343,zone_exit,0,left
1778678170.901422,zone_enter,0,left
1778678170.9351416,zone_exit,0,left
1778678170.968304,zone_enter,0,left
1778678171.0015614,zone_exit,0,left
1778678171.0348992,zone_enter,0,left
1778678171.101774,zone_enter,2,right
1778678171.1352878,zone_exit,3,right
1778678171.3356285,zone_exit,1,left
1778678171.4022737,zone_exit,2,right
1778678171.535632,zone_enter,3,right
1778678171.5690105,zone_enter,1,left
1778678171.6358635,zone_exit,3,right
1778678171.7027457,zone_exit,0,left
1778678171.7027457,zone_enter,3,right
1778678171.736132,zone_exit,1,left
1778678171.7696822,zone_enter,0,left
1778678171.7696822,zone_enter,1,left
1778678171.836315,zone_exit,3,right
1778678172.0033789,zone_exit,1,left
1778678172.0365741,zone_enter,1,left
1778678172.0698237,zone_enter,3,right
1778678172.1700315,zone_enter,2,right
1778678172.3035636,zone_exit,2,right
1778678172.4704862,zone_enter,2,right
1778678172.504121,zone_exit,2,right
1778678172.504121,zone_exit,3,right
1778678172.5373707,zone_exit,0,left
1778678172.5706742,zone_enter,0,left
1778678172.6039352,zone_exit,1,left
1778678172.6039352,zone_enter,3,right
1778678172.6373384,zone_enter,1,left
1778678172.6373384,zone_enter,2,right
1778678172.6373384,zone_exit,3,right
1778678172.6708078,zone_exit,1,left
1778678172.704436,zone_enter,1,left
1778678172.7709932,zone_exit,2,right
1778678173.1383839,zone_enter,3,right
1778678173.1716785,zone_exit,3,right
1778678173.2051663,zone_enter,3,right
1778678173.2716546,zone_exit,0,left
1778678173.2716546,zone_exit,1,left
1778678173.3050683,zone_enter,0,left
1778678173.3718367,zone_enter,1,left
1778678173.4052696,zone_exit,1,left
1778678173.5054843,zone_enter,1,left
1778678173.539115,zone_exit,1,left
1778678173.5723739,zone_enter,1,left
1778678173.5723739,zone_enter,2,right
1778678173.6394231,zone_exit,1,left
1778678173.6394231,zone_exit,2,right
1778678173.70579,zone_exit,3,right
1778678173.772686,zone_enter,2,right
1778678173.8394914,zone_enter,1,left
1778678173.9061415,zone_exit,2,right
1778678173.9730372,zone_enter,2,right
1778678174.0399,zone_exit,2,right
1778678174.1397269,zone_exit,1,left
1778678174.206407,zone_enter,3,right
1778678174.239845,zone_enter,1,left
1778678174.3400645,zone_exit,1,left
1778678174.3736875,zone_enter,1,left
1778678174.4069471,zone_exit,1,left
1778678174.4402783,zone_enter,1,left
1778678174.4402783,zone_exit,3,right
1778678174.4740295,zone_exit,1,left
1778678174.4740295,zone_enter,3,right
1778678174.540407,zone_exit,0,left
1778678174.5739553,zone_enter,0,left
1778678174.64046,zone_enter,1,left
1778678174.7074804,zone_exit,3,right
1778678174.8073525,zone_exit,1,left
1778678174.8407822,zone_enter,1,left
1778678174.8741045,zone_exit,1,left
1778678174.9410834,zone_enter,3,right
1778678174.9742966,zone_enter,2,right
1778678174.9742966,zone_exit,3,right
1778678175.0079608,zone_enter,3,right
1778678175.0410626,zone_enter,1,left
1778678175.1078346,zone_exit,2,right
1778678175.1078346,zone_exit,3,right
1778678175.141173,zone_exit,1,left
1778678175.141173,zone_enter,3,right
1778678175.1747153,zone_exit,3,right
1778678175.2079632,zone_enter,3,right
1778678175.2416482,zone_enter,1,left
1778678175.308471,zone_exit,3,right
1778678175.3417332,zone_enter,3,right
1778678175.375035,zone_exit,0,left
1778678175.441933,zone_enter,0,left
1778678175.4752624,zone_exit,0,left
1778678175.5089242,zone_enter,0,left
1778678175.5753708,zone_exit,3,right
1778678175.608944,zone_exit,1,left
1778678175.608944,zone_enter,3,right
1778678175.6419952,zone_exit,3,right
1778678175.6753461,zone_enter,3,right
1778678175.7755857,zone_exit,3,right
1778678175.8425977,zone_enter,2,right
1778678175.8756447,zone_exit,2,right
1778678175.8756447,zone_enter,3,right
1778678175.9090831,zone_enter,1,left
1778678175.9090831,zone_enter,2,right
1778678175.9428654,zone_exit,1,left
1778678176.1430378,zone_exit,2,right
1778678176.3098156,zone_exit,3,right
1778678176.34334,zone_enter,3,right
1778678176.3764684,zone_enter,1,left
1778678176.3764684,zone_exit,3,right
1778678176.4098206,zone_exit,1,left
1778678176.4098206,zone_enter,3,right
1778678176.5099823,zone_enter,2,right
1778678176.5433433,zone_exit,2,right
1778678176.5767586,zone_enter,1,left
1778678176.7104688,zone_enter,2,right
1778678176.7437587,zone_exit,2,right
1778678176.777052,zone_enter,2,right
1778678176.8438535,zone_exit,3,right
1778678176.8771973,zone_enter,3,right
1778678176.9106257,zone_exit,3,right
1778678176.94397,zone_enter,3,right
1778678177.0107207,zone_exit,1,left
1778678177.0107207,zone_exit,2,right
1778678177.0441377,zone_enter,1,left
1778678177.0441377,zone_exit,3,right
1778678177.0775008,zone_exit,1,left
1778678177.0775008,zone_enter,3,right
1778678177.1442661,zone_exit,0,left
1778678177.1777008,zone_enter,0,left
1778678177.1777008,zone_enter,2,right
1778678177.2446444,zone_exit,2,right
1778678177.6450574,zone_enter,1,left
1778678177.6785407,zone_exit,1,left
1778678177.711817,zone_enter,2,right
1778678177.7451777,zone_exit,2,right
1778678177.7786033,zone_enter,1,left
1778678177.845383,zone_enter,2,right
1778678177.845383,zone_exit,3,right
1778678177.878873,zone_exit,2,right
1778678177.878873,zone_enter,3,right
1778678177.9121456,zone_exit,0,left
1778678177.9121456,zone_exit,3,right
1778678177.945757,zone_enter,3,right
1778678178.0126379,zone_exit,1,left
1778678178.0456755,zone_enter,0,left
1778678178.0456755,zone_enter,1,left
1778678178.0790377,zone_exit,0,left
1778678178.1124566,zone_enter,0,left
1778678178.1458082,zone_exit,0,left
1778678178.1792154,zone_exit,1,left
1778678178.245998,zone_enter,0,left
1778678178.312757,zone_enter,1,left
1778678178.312757,zone_enter,2,right
1778678178.3461268,zone_exit,1,left
1778678178.4129186,zone_exit,0,left
1778678178.4129186,zone_exit,2,right
1778678178.4462724,zone_enter,2,right
1778678178.4462724,zone_exit,3,right
1778678178.4798696,zone_exit,2,right
1778678178.579831,zone_enter,0,left
1778678178.579831,zone_enter,1,left
1778678178.579831,zone_enter,2,right
1778678178.579831,zone_enter,3,right
1778678178.6133127,zone_exit,1,left
1778678178.6133127,zone_exit,2,right
1778678178.64683,zone_enter,1,left
1778678178.64683,zone_enter,2,right
1778678178.64683,zone_exit,3,right
1778678178.6799526,zone_enter,3,right
1778678178.7133753,zone_exit,2,right
1778678178.7801363,zone_enter,2,right
1778678178.8135195,zone_exit,0,left
1778678178.8135195,zone_exit,1,left
1778678178.8802726,zone_exit,2,right
1778678178.9804554,zone_enter,1,left
1778678179.0140266,zone_exit,1,left
1778678179.1141758,zone_enter,0,left
1778678179.2476404,zone_enter,2,right
1778678179.2809424,zone_exit,2,right
1778678179.3143027,zone_enter,2,right
